areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,hospitalCases
K02000001,United Kingdom,overview,2021-12-13,46804609,89.2,7672
K02000001,United Kingdom,overview,2021-12-12,46775202,89.2,7459
K02000001,United Kingdom,overview,2021-12-11,46745007,89.1,7344
K02000001,United Kingdom,overview,2021-12-10,46706023,89.1,7386
K02000001,United Kingdom,overview,2021-12-09,46674061,89.0,7436
K02000001,United Kingdom,overview,2021-12-08,46640237,89.0,7371
K02000001,United Kingdom,overview,2021-12-07,46610800,89.0,7357
K02000001,United Kingdom,overview,2021-12-06,46582425,88.9,7373
K02000001,United Kingdom,overview,2021-12-05,46557413,88.9,7271
K02000001,United Kingdom,overview,2021-12-04,46530247,88.9,7172
K02000001,United Kingdom,overview,2021-12-03,46492449,88.8,7322
K02000001,United Kingdom,overview,2021-12-02,46462638,88.8,7413
K02000001,United Kingdom,overview,2021-12-01,46431662,88.7,7344
K02000001,United Kingdom,overview,2021-11-30,46399306,88.7,7671
K02000001,United Kingdom,overview,2021-11-29,46367149,88.6,7664
K02000001,United Kingdom,overview,2021-11-28,46341057,88.6,7436
K02000001,United Kingdom,overview,2021-11-27,46311612,88.5,7407
K02000001,United Kingdom,overview,2021-11-26,46278746,88.5,7562
K02000001,United Kingdom,overview,2021-11-25,46255081,88.5,7664
K02000001,United Kingdom,overview,2021-11-24,46232258,88.4,7675
K02000001,United Kingdom,overview,2021-11-23,46208819,88.4,7924
K02000001,United Kingdom,overview,2021-11-22,46186817,88.3,8141
K02000001,United Kingdom,overview,2021-11-21,46168300,88.3,8047
K02000001,United Kingdom,overview,2021-11-20,46154408,88.3,7952
K02000001,United Kingdom,overview,2021-11-19,46130215,88.2,8073
K02000001,United Kingdom,overview,2021-11-18,46108608,88.2,8126
K02000001,United Kingdom,overview,2021-11-17,46087958,88.1,8226
K02000001,United Kingdom,overview,2021-11-16,46065838,88.1,8475
K02000001,United Kingdom,overview,2021-11-15,46045964,88.0,8753
