areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,2021-12-17,93045,111
K02000001,United Kingdom,overview,2021-12-16,88376,146
K02000001,United Kingdom,overview,2021-12-15,78610,165
K02000001,United Kingdom,overview,2021-12-14,59610,150
K02000001,United Kingdom,overview,2021-12-13,54661,38
K02000001,United Kingdom,overview,2021-12-12,48854,52
K02000001,United Kingdom,overview,2021-12-11,54073,132
K02000001,United Kingdom,overview,2021-12-10,58194,120
K02000001,United Kingdom,overview,2021-12-09,50867,148
K02000001,United Kingdom,overview,2021-12-08,51342,161
K02000001,United Kingdom,overview,2021-12-07,45691,180
K02000001,United Kingdom,overview,2021-12-06,51459,41
K02000001,United Kingdom,overview,2021-12-05,43992,54
K02000001,United Kingdom,overview,2021-12-04,42848,127
K02000001,United Kingdom,overview,2021-12-03,50584,143
K02000001,United Kingdom,overview,2021-12-02,53945,141
K02000001,United Kingdom,overview,2021-12-01,48374,171
K02000001,United Kingdom,overview,2021-11-30,39716,159
K02000001,United Kingdom,overview,2021-11-29,42583,35
K02000001,United Kingdom,overview,2021-11-28,37681,51
K02000001,United Kingdom,overview,2021-11-27,39567,131
K02000001,United Kingdom,overview,2021-11-26,50091,160
K02000001,United Kingdom,overview,2021-11-25,47240,147
K02000001,United Kingdom,overview,2021-11-24,43676,149
K02000001,United Kingdom,overview,2021-11-23,42484,165
K02000001,United Kingdom,overview,2021-11-22,44917,45
K02000001,United Kingdom,overview,2021-11-21,40004,61
K02000001,United Kingdom,overview,2021-11-20,40941,150
K02000001,United Kingdom,overview,2021-11-19,44242,157
K02000001,United Kingdom,overview,2021-11-18,46807,199
K02000001,United Kingdom,overview,2021-11-17,38263,201
K02000001,United Kingdom,overview,2021-11-16,37243,214
K02000001,United Kingdom,overview,2021-11-15,39705,47
K02000001,United Kingdom,overview,2021-11-14,36517,63
K02000001,United Kingdom,overview,2021-11-13,38351,157
K02000001,United Kingdom,overview,2021-11-12,40375,145
K02000001,United Kingdom,overview,2021-11-11,42408,195
K02000001,United Kingdom,overview,2021-11-10,39329,214
K02000001,United Kingdom,overview,2021-11-09,33117,262
K02000001,United Kingdom,overview,2021-11-08,32322,57
K02000001,United Kingdom,overview,2021-11-07,30305,62
K02000001,United Kingdom,overview,2021-11-06,30693,155
K02000001,United Kingdom,overview,2021-11-05,34029,193
K02000001,United Kingdom,overview,2021-11-04,37269,214
K02000001,United Kingdom,overview,2021-11-03,41299,217
K02000001,United Kingdom,overview,2021-11-02,33865,293
K02000001,United Kingdom,overview,2021-11-01,40077,40
K02000001,United Kingdom,overview,2021-10-31,38009,74
K02000001,United Kingdom,overview,2021-10-30,41278,166
K02000001,United Kingdom,overview,2021-10-29,43467,186
K02000001,United Kingdom,overview,2021-10-28,39842,165
K02000001,United Kingdom,overview,2021-10-27,43941,207
K02000001,United Kingdom,overview,2021-10-26,40954,263
K02000001,United Kingdom,overview,2021-10-25,36567,38
K02000001,United Kingdom,overview,2021-10-24,39962,72
K02000001,United Kingdom,overview,2021-10-23,44985,135
K02000001,United Kingdom,overview,2021-10-22,49298,180
K02000001,United Kingdom,overview,2021-10-21,52009,115
K02000001,United Kingdom,overview,2021-10-20,49139,179
