areaCode,areaName,areaType,date,hospitalCases,newDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,2021-12-17,,111
K02000001,United Kingdom,overview,2021-12-16,7611,146
K02000001,United Kingdom,overview,2021-12-15,7597,165
K02000001,United Kingdom,overview,2021-12-14,7690,150
K02000001,United Kingdom,overview,2021-12-13,7697,38
K02000001,United Kingdom,overview,2021-12-12,7483,52
K02000001,United Kingdom,overview,2021-12-11,7365,132
K02000001,United Kingdom,overview,2021-12-10,7400,120
K02000001,United Kingdom,overview,2021-12-09,7448,148
K02000001,United Kingdom,overview,2021-12-08,7383,161
K02000001,United Kingdom,overview,2021-12-07,7366,180
K02000001,United Kingdom,overview,2021-12-06,7382,41
K02000001,United Kingdom,overview,2021-12-05,7278,54
K02000001,United Kingdom,overview,2021-12-04,7179,127
K02000001,United Kingdom,overview,2021-12-03,7329,143
K02000001,United Kingdom,overview,2021-12-02,7419,141
K02000001,United Kingdom,overview,2021-12-01,7349,171
K02000001,United Kingdom,overview,2021-11-30,7675,159
K02000001,United Kingdom,overview,2021-11-29,7667,35
K02000001,United Kingdom,overview,2021-11-28,7439,51
K02000001,United Kingdom,overview,2021-11-27,7410,131
K02000001,United Kingdom,overview,2021-11-26,7565,160
K02000001,United Kingdom,overview,2021-11-25,7665,147
K02000001,United Kingdom,overview,2021-11-24,7675,149
K02000001,United Kingdom,overview,2021-11-23,7922,165
K02000001,United Kingdom,overview,2021-11-22,8138,45
K02000001,United Kingdom,overview,2021-11-21,8044,61
K02000001,United Kingdom,overview,2021-11-20,7949,150
K02000001,United Kingdom,overview,2021-11-19,8071,157
K02000001,United Kingdom,overview,2021-11-18,8124,199
K02000001,United Kingdom,overview,2021-11-17,8225,201
K02000001,United Kingdom,overview,2021-11-16,8474,214
K02000001,United Kingdom,overview,2021-11-15,8752,47
K02000001,United Kingdom,overview,2021-11-14,8593,63
K02000001,United Kingdom,overview,2021-11-13,8507,157
K02000001,United Kingdom,overview,2021-11-12,8645,145
K02000001,United Kingdom,overview,2021-11-11,8738,195
K02000001,United Kingdom,overview,2021-11-10,8891,214
K02000001,United Kingdom,overview,2021-11-09,8963,262
K02000001,United Kingdom,overview,2021-11-08,9013,57
K02000001,United Kingdom,overview,2021-11-07,8865,62
K02000001,United Kingdom,overview,2021-11-06,8845,155
K02000001,United Kingdom,overview,2021-11-05,9091,193
K02000001,United Kingdom,overview,2021-11-04,9292,214
K02000001,United Kingdom,overview,2021-11-03,9439,217
K02000001,United Kingdom,overview,2021-11-02,9654,293
K02000001,United Kingdom,overview,2021-11-01,9671,40
K02000001,United Kingdom,overview,2021-10-31,9426,74
K02000001,United Kingdom,overview,2021-10-30,9272,166
K02000001,United Kingdom,overview,2021-10-29,9221,186
K02000001,United Kingdom,overview,2021-10-28,9125,165
K02000001,United Kingdom,overview,2021-10-27,9047,207
K02000001,United Kingdom,overview,2021-10-26,8942,263
K02000001,United Kingdom,overview,2021-10-25,8826,38
K02000001,United Kingdom,overview,2021-10-24,8502,72
K02000001,United Kingdom,overview,2021-10-23,8333,135
K02000001,United Kingdom,overview,2021-10-22,8340,180
K02000001,United Kingdom,overview,2021-10-21,8357,115
K02000001,United Kingdom,overview,2021-10-20,8263,179
K02000001,United Kingdom,overview,2021-10-19,8007,223
K02000001,United Kingdom,overview,2021-10-18,7858,45
K02000001,United Kingdom,overview,2021-10-17,7490,57
K02000001,United Kingdom,overview,2021-10-16,7219,148
K02000001,United Kingdom,overview,2021-10-15,7193,145
K02000001,United Kingdom,overview,2021-10-14,7181,157
K02000001,United Kingdom,overview,2021-10-13,7123,136
K02000001,United Kingdom,overview,2021-10-12,7109,181
K02000001,United Kingdom,overview,2021-10-11,7081,28
K02000001,United Kingdom,overview,2021-10-10,6927,38
K02000001,United Kingdom,overview,2021-10-09,6755,133
K02000001,United Kingdom,overview,2021-10-08,6811,150
K02000001,United Kingdom,overview,2021-10-07,6833,122
K02000001,United Kingdom,overview,2021-10-06,6884,143
K02000001,United Kingdom,overview,2021-10-05,6899,166
K02000001,United Kingdom,overview,2021-10-04,6823,33
K02000001,United Kingdom,overview,2021-10-03,6633,43
K02000001,United Kingdom,overview,2021-10-02,6475,121
K02000001,United Kingdom,overview,2021-10-01,6623,127
K02000001,United Kingdom,overview,2021-09-30,6792,137
K02000001,United Kingdom,overview,2021-09-29,6936,150
K02000001,United Kingdom,overview,2021-09-28,7050,167
K02000001,United Kingdom,overview,2021-09-27,7067,40
K02000001,United Kingdom,overview,2021-09-26,6836,58
K02000001,United Kingdom,overview,2021-09-25,6975,127
K02000001,United Kingdom,overview,2021-09-24,6929,180
K02000001,United Kingdom,overview,2021-09-23,7180,182
K02000001,United Kingdom,overview,2021-09-22,7430,166
K02000001,United Kingdom,overview,2021-09-21,7637,203
K02000001,United Kingdom,overview,2021-09-20,7810,49
K02000001,United Kingdom,overview,2021-09-19,7759,56
K02000001,United Kingdom,overview,2021-09-18,7707,164
K02000001,United Kingdom,overview,2021-09-17,7918,178
K02000001,United Kingdom,overview,2021-09-16,8125,158
K02000001,United Kingdom,overview,2021-09-15,8407,201
K02000001,United Kingdom,overview,2021-09-14,8401,185
K02000001,United Kingdom,overview,2021-09-13,8478,61
K02000001,United Kingdom,overview,2021-09-12,8255,56
K02000001,United Kingdom,overview,2021-09-11,8145,156
K02000001,United Kingdom,overview,2021-09-10,8317,147
K02000001,United Kingdom,overview,2021-09-09,8146,167
K02000001,United Kingdom,overview,2021-09-08,8137,191
K02000001,United Kingdom,overview,2021-09-07,7981,209
K02000001,United Kingdom,overview,2021-09-06,8037,45
K02000001,United Kingdom,overview,2021-09-05,7751,68
K02000001,United Kingdom,overview,2021-09-04,7556,120
K02000001,United Kingdom,overview,2021-09-03,7671,121
K02000001,United Kingdom,overview,2021-09-02,7622,178
K02000001,United Kingdom,overview,2021-09-01,7682,207
K02000001,United Kingdom,overview,2021-08-31,7678,50
K02000001,United Kingdom,overview,2021-08-30,7340,48
K02000001,United Kingdom,overview,2021-08-29,7111,61
K02000001,United Kingdom,overview,2021-08-28,6980,133
K02000001,United Kingdom,overview,2021-08-27,7086,100
K02000001,United Kingdom,overview,2021-08-26,7032,140
K02000001,United Kingdom,overview,2021-08-25,6987,149
K02000001,United Kingdom,overview,2021-08-24,6961,174
K02000001,United Kingdom,overview,2021-08-23,7019,40
K02000001,United Kingdom,overview,2021-08-22,6749,49
K02000001,United Kingdom,overview,2021-08-21,6531,104
K02000001,United Kingdom,overview,2021-08-20,6520,114
K02000001,United Kingdom,overview,2021-08-19,6509,113
K02000001,United Kingdom,overview,2021-08-18,6465,111
K02000001,United Kingdom,overview,2021-08-17,6407,170
K02000001,United Kingdom,overview,2021-08-16,6383,26
K02000001,United Kingdom,overview,2021-08-15,6046,61
K02000001,United Kingdom,overview,2021-08-14,5885,93
K02000001,United Kingdom,overview,2021-08-13,5988,100
K02000001,United Kingdom,overview,2021-08-12,5960,94
K02000001,United Kingdom,overview,2021-08-11,6005,104
K02000001,United Kingdom,overview,2021-08-10,6020,146
K02000001,United Kingdom,overview,2021-08-09,6018,37
K02000001,United Kingdom,overview,2021-08-08,5857,39
K02000001,United Kingdom,overview,2021-08-07,5704,103
K02000001,United Kingdom,overview,2021-08-06,5753,92
K02000001,United Kingdom,overview,2021-08-05,5755,86
K02000001,United Kingdom,overview,2021-08-04,5792,119
K02000001,United Kingdom,overview,2021-08-03,6006,138
K02000001,United Kingdom,overview,2021-08-02,6215,24
K02000001,United Kingdom,overview,2021-08-01,5982,65
K02000001,United Kingdom,overview,2021-07-31,5958,71
K02000001,United Kingdom,overview,2021-07-30,6019,68
K02000001,United Kingdom,overview,2021-07-29,5986,85
K02000001,United Kingdom,overview,2021-07-28,6107,91
K02000001,United Kingdom,overview,2021-07-27,6098,131
K02000001,United Kingdom,overview,2021-07-26,6004,14
K02000001,United Kingdom,overview,2021-07-25,5648,28
K02000001,United Kingdom,overview,2021-07-24,5379,86
K02000001,United Kingdom,overview,2021-07-23,5312,64
K02000001,United Kingdom,overview,2021-07-22,5102,84
K02000001,United Kingdom,overview,2021-07-21,4930,73
K02000001,United Kingdom,overview,2021-07-20,4742,96
K02000001,United Kingdom,overview,2021-07-19,4651,19
K02000001,United Kingdom,overview,2021-07-18,4347,25
K02000001,United Kingdom,overview,2021-07-17,4231,41
K02000001,United Kingdom,overview,2021-07-16,4151,49
K02000001,United Kingdom,overview,2021-07-15,4038,63
K02000001,United Kingdom,overview,2021-07-14,3857,49
K02000001,United Kingdom,overview,2021-07-13,3673,50
K02000001,United Kingdom,overview,2021-07-12,3458,6
K02000001,United Kingdom,overview,2021-07-11,3182,26
K02000001,United Kingdom,overview,2021-07-10,3036,34
K02000001,United Kingdom,overview,2021-07-09,2939,29
K02000001,United Kingdom,overview,2021-07-08,2768,35
K02000001,United Kingdom,overview,2021-07-07,2681,33
K02000001,United Kingdom,overview,2021-07-06,2486,37
K02000001,United Kingdom,overview,2021-07-05,2364,9
K02000001,United Kingdom,overview,2021-07-04,2178,15
K02000001,United Kingdom,overview,2021-07-03,2058,18
K02000001,United Kingdom,overview,2021-07-02,2014,27
K02000001,United Kingdom,overview,2021-07-01,1937,22
K02000001,United Kingdom,overview,2021-06-30,1827,14
K02000001,United Kingdom,overview,2021-06-29,1748,23
