areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByPublishDate,newDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,16/12/2021,,146
K02000001,United Kingdom,overview,15/12/2021,46881291,165
K02000001,United Kingdom,overview,14/12/2021,46842497,150
K02000001,United Kingdom,overview,13/12/2021,46804609,38
K02000001,United Kingdom,overview,12/12/2021,46775202,52
K02000001,United Kingdom,overview,11/12/2021,46745007,132
K02000001,United Kingdom,overview,10/12/2021,46706023,120
K02000001,United Kingdom,overview,09/12/2021,46674061,148
K02000001,United Kingdom,overview,08/12/2021,46640237,161
K02000001,United Kingdom,overview,07/12/2021,46610800,180
K02000001,United Kingdom,overview,06/12/2021,46582425,41
K02000001,United Kingdom,overview,05/12/2021,46557413,54
K02000001,United Kingdom,overview,04/12/2021,46530247,127
K02000001,United Kingdom,overview,03/12/2021,46492449,143
K02000001,United Kingdom,overview,02/12/2021,46462638,141
K02000001,United Kingdom,overview,01/12/2021,46431662,171
K02000001,United Kingdom,overview,30/11/2021,46399306,159
K02000001,United Kingdom,overview,29/11/2021,46367149,35
K02000001,United Kingdom,overview,28/11/2021,46341057,51
K02000001,United Kingdom,overview,27/11/2021,46311612,131
K02000001,United Kingdom,overview,26/11/2021,46278746,160
K02000001,United Kingdom,overview,25/11/2021,46255081,147
K02000001,United Kingdom,overview,24/11/2021,46232258,149
K02000001,United Kingdom,overview,23/11/2021,46208819,165
K02000001,United Kingdom,overview,22/11/2021,46186817,45
K02000001,United Kingdom,overview,21/11/2021,46168300,61
K02000001,United Kingdom,overview,20/11/2021,46154408,150
K02000001,United Kingdom,overview,19/11/2021,46130215,157
K02000001,United Kingdom,overview,18/11/2021,46108608,199
K02000001,United Kingdom,overview,17/11/2021,46087958,201
K02000001,United Kingdom,overview,16/11/2021,46065838,214
K02000001,United Kingdom,overview,15/11/2021,46045964,47
K02000001,United Kingdom,overview,14/11/2021,46027909,63
K02000001,United Kingdom,overview,13/11/2021,46010861,157
K02000001,United Kingdom,overview,12/11/2021,45986536,145
K02000001,United Kingdom,overview,11/11/2021,45964488,195
K02000001,United Kingdom,overview,10/11/2021,45942003,214
K02000001,United Kingdom,overview,09/11/2021,45894237,262
K02000001,United Kingdom,overview,08/11/2021,45873038,57
K02000001,United Kingdom,overview,07/11/2021,45852677,62
K02000001,United Kingdom,overview,06/11/2021,45838067,155
K02000001,United Kingdom,overview,05/11/2021,45813567,193
K02000001,United Kingdom,overview,04/11/2021,45790934,214
K02000001,United Kingdom,overview,03/11/2021,45770452,217
K02000001,United Kingdom,overview,02/11/2021,45752487,293
K02000001,United Kingdom,overview,01/11/2021,45731565,40
K02000001,United Kingdom,overview,31/10/2021,45712351,74
K02000001,United Kingdom,overview,30/10/2021,45698902,166
K02000001,United Kingdom,overview,29/10/2021,45673501,186
K02000001,United Kingdom,overview,28/10/2021,45651222,165
K02000001,United Kingdom,overview,27/10/2021,45627499,207
K02000001,United Kingdom,overview,26/10/2021,45605922,263
K02000001,United Kingdom,overview,25/10/2021,45582891,38
K02000001,United Kingdom,overview,24/10/2021,45561445,72
K02000001,United Kingdom,overview,23/10/2021,45543363,135
K02000001,United Kingdom,overview,22/10/2021,45513120,180
K02000001,United Kingdom,overview,21/10/2021,45486950,115
K02000001,United Kingdom,overview,20/10/2021,45460122,179
K02000001,United Kingdom,overview,19/10/2021,45433757,223
K02000001,United Kingdom,overview,18/10/2021,45400990,45
K02000001,United Kingdom,overview,17/10/2021,45377411,57
K02000001,United Kingdom,overview,16/10/2021,45360146,148
K02000001,United Kingdom,overview,15/10/2021,45326663,145
K02000001,United Kingdom,overview,14/10/2021,45297231,157
K02000001,United Kingdom,overview,13/10/2021,45269240,136
K02000001,United Kingdom,overview,12/10/2021,45239759,181
K02000001,United Kingdom,overview,11/10/2021,45212813,28
K02000001,United Kingdom,overview,10/10/2021,45189181,38
K02000001,United Kingdom,overview,09/10/2021,45169730,133
K02000001,United Kingdom,overview,08/10/2021,45136253,150
K02000001,United Kingdom,overview,07/10/2021,45107185,122
K02000001,United Kingdom,overview,06/10/2021,45078529,143
K02000001,United Kingdom,overview,05/10/2021,45049953,166
K02000001,United Kingdom,overview,04/10/2021,45021381,33
K02000001,United Kingdom,overview,03/10/2021,44992044,43
K02000001,United Kingdom,overview,02/10/2021,44970512,121
K02000001,United Kingdom,overview,01/10/2021,44936121,127
K02000001,United Kingdom,overview,30/09/2021,44901832,137
K02000001,United Kingdom,overview,29/09/2021,44867373,150
K02000001,United Kingdom,overview,28/09/2021,44833280,167
K02000001,United Kingdom,overview,27/09/2021,44799748,40
K02000001,United Kingdom,overview,26/09/2021,44766571,58
K02000001,United Kingdom,overview,25/09/2021,44741032,127
K02000001,United Kingdom,overview,24/09/2021,44693914,180
K02000001,United Kingdom,overview,23/09/2021,44649155,182
K02000001,United Kingdom,overview,22/09/2021,44604567,166
K02000001,United Kingdom,overview,21/09/2021,44560520,203
K02000001,United Kingdom,overview,20/09/2021,44517114,49
K02000001,United Kingdom,overview,19/09/2021,44470772,56
K02000001,United Kingdom,overview,18/09/2021,44435615,164
K02000001,United Kingdom,overview,17/09/2021,44363118,178
K02000001,United Kingdom,overview,16/09/2021,44302734,158
K02000001,United Kingdom,overview,15/09/2021,44238761,201
K02000001,United Kingdom,overview,14/09/2021,44175471,185
K02000001,United Kingdom,overview,13/09/2021,44108746,61
K02000001,United Kingdom,overview,12/09/2021,44048093,56
K02000001,United Kingdom,overview,11/09/2021,43995478,156
K02000001,United Kingdom,overview,10/09/2021,43897419,147
K02000001,United Kingdom,overview,09/09/2021,43805608,167
K02000001,United Kingdom,overview,08/09/2021,43708906,191
K02000001,United Kingdom,overview,07/09/2021,43620946,209
K02000001,United Kingdom,overview,06/09/2021,43535098,45
K02000001,United Kingdom,overview,05/09/2021,43455083,68
K02000001,United Kingdom,overview,04/09/2021,43381890,120
K02000001,United Kingdom,overview,03/09/2021,43253337,121
K02000001,United Kingdom,overview,02/09/2021,43142747,178
K02000001,United Kingdom,overview,01/09/2021,43023372,207
K02000001,United Kingdom,overview,31/08/2021,42909987,50
K02000001,United Kingdom,overview,30/08/2021,42790585,48
K02000001,United Kingdom,overview,29/08/2021,42723937,61
K02000001,United Kingdom,overview,28/08/2021,42644497,133
K02000001,United Kingdom,overview,27/08/2021,42510809,100
K02000001,United Kingdom,overview,26/08/2021,42379353,140
K02000001,United Kingdom,overview,25/08/2021,42234417,149
K02000001,United Kingdom,overview,24/08/2021,42072712,174
K02000001,United Kingdom,overview,23/08/2021,41942036,40
K02000001,United Kingdom,overview,22/08/2021,41810753,49
K02000001,United Kingdom,overview,21/08/2021,41694401,104
K02000001,United Kingdom,overview,20/08/2021,41499520,114
K02000001,United Kingdom,overview,19/08/2021,41332128,113
K02000001,United Kingdom,overview,18/08/2021,41157069,111
K02000001,United Kingdom,overview,17/08/2021,40987846,170
K02000001,United Kingdom,overview,16/08/2021,40841971,26
K02000001,United Kingdom,overview,15/08/2021,40703581,61
K02000001,United Kingdom,overview,14/08/2021,40577198,93
K02000001,United Kingdom,overview,13/08/2021,40377614,100
K02000001,United Kingdom,overview,12/08/2021,40206029,94
K02000001,United Kingdom,overview,11/08/2021,40013470,104
K02000001,United Kingdom,overview,10/08/2021,39839709,146
