areaCode,areaName,areaType,date,newAdmissions,newVaccinesGivenByPublishDate
K02000001,United Kingdom,overview,2021-12-16,,936480
K02000001,United Kingdom,overview,2021-12-15,,812044
K02000001,United Kingdom,overview,2021-12-14,,728681
K02000001,United Kingdom,overview,2021-12-13,900,562800
K02000001,United Kingdom,overview,2021-12-12,850,451044
K02000001,United Kingdom,overview,2021-12-11,778,615528
K02000001,United Kingdom,overview,2021-12-10,799,482986
K02000001,United Kingdom,overview,2021-12-09,925,527342
K02000001,United Kingdom,overview,2021-12-08,875,465782
K02000001,United Kingdom,overview,2021-12-07,929,442937
K02000001,United Kingdom,overview,2021-12-06,857,374156
K02000001,United Kingdom,overview,2021-12-05,826,339286
K02000001,United Kingdom,overview,2021-12-04,738,529328
K02000001,United Kingdom,overview,2021-12-03,725,442053
K02000001,United Kingdom,overview,2021-12-02,827,477734
K02000001,United Kingdom,overview,2021-12-01,810,466235
K02000001,United Kingdom,overview,2021-11-30,819,455285
K02000001,United Kingdom,overview,2021-11-29,790,367154
K02000001,United Kingdom,overview,2021-11-28,707,336273
K02000001,United Kingdom,overview,2021-11-27,711,521785
K02000001,United Kingdom,overview,2021-11-26,724,410741
K02000001,United Kingdom,overview,2021-11-25,765,442483
K02000001,United Kingdom,overview,2021-11-24,904,426964
K02000001,United Kingdom,overview,2021-11-23,774,413976
K02000001,United Kingdom,overview,2021-11-22,735,349941
K02000001,United Kingdom,overview,2021-11-21,751,268311
K02000001,United Kingdom,overview,2021-11-20,729,513270
K02000001,United Kingdom,overview,2021-11-19,765,412575
K02000001,United Kingdom,overview,2021-11-18,832,436587
K02000001,United Kingdom,overview,2021-11-17,857,439633
K02000001,United Kingdom,overview,2021-11-16,892,398862
K02000001,United Kingdom,overview,2021-11-15,836,336683
K02000001,United Kingdom,overview,2021-11-14,806,257335
K02000001,United Kingdom,overview,2021-11-13,772,519837
K02000001,United Kingdom,overview,2021-11-12,882,414160
K02000001,United Kingdom,overview,2021-11-11,955,429857
K02000001,United Kingdom,overview,2021-11-10,978,699192
K02000001,United Kingdom,overview,2021-11-09,987,401329
K02000001,United Kingdom,overview,2021-11-08,1009,331498
K02000001,United Kingdom,overview,2021-11-07,883,250335
K02000001,United Kingdom,overview,2021-11-06,826,484130
K02000001,United Kingdom,overview,2021-11-05,852,388827
