Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,157660,7329,142020.0,8311.0,3922,182,806132.0,20055.0,40195650
Albania,203925,3140,195436.0,5349.0,70974,1093,1422708.0,495157.0,2873245
Algeria,213058,6151,146519.0,60388.0,4735,137,230861.0,5131.0,44996238
Andorra,19967,134,17541.0,2292.0,257825,1730,218899.0,2826546.0,77444
Angola,65431,1737,63519.0,175.0,1905,51,1192540.0,34725.0,34342694
Antigua and Barbuda,4175,117,4033.0,25.0,42128,1181,18195.0,183597.0,99103
Argentina,5361967,116792,5218343.0,26832.0,117083,2550,26723972.0,583542.0,45796106
Armenia,342765,7845,326304.0,8616.0,115360,2640,2456948.0,826903.0,2971264
Aruba,16605,177,16231.0,197.0,154577,1648,177885.0,1655946.0,107422
Australia,232738,2113,212104.0,18521.0,8976,81,50354885.0,1942099.0,25928068
Austria,1235063,13282,1160198.0,61583.0,136008,1463,115678700.0,12738816.0,9080805
Azerbaijan,605920,8123,578756.0,19041.0,58991,791,5694341.0,554384.0,10271468
Bahamas,22907,708,21659.0,540.0,57457,1776,173567.0,435351.0,398683
Bahrain,278109,1394,276374.0,341.0,155633,780,7647173.0,4279444.0,1786955
Bangladesh,1580005,28034,1544664.0,7307.0,9457,168,11165105.0,66831.0,167064277
Barbados,26864,253,24692.0,1919.0,93315,879,452041.0,1570214.0,287885
Belarus,676512,5305,667041.0,4166.0,71628,562,10691609.0,1132008.0,9444821
Belgium,1959193,27631,1457208.0,474354.0,167988,2369,26010582.0,2230244.0,11662662
Belize,31105,586,29791.0,728.0,76225,1436,363915.0,891802.0,408067
Benin,24897,161,24546.0,190.0,1979,13,604310.0,48030.0,12582020
Bermuda,5784,106,5643.0,35.0,93373,1711,666941.0,10766664.0,61945
Bhutan,2649,3,2629.0,17.0,3379,4,1263473.0,1611768.0,783905
Bolivia,554999,19330,505504.0,30165.0,46625,1624,2606031.0,218931.0,11903414
Bosnia and Herzegovina,282587,13028,192218.0,77341.0,86916,4007,1435468.0,441512.0,3251253
Botswana,196090,2421,192452.0,1217.0,81020,1000,1929047.0,797034.0,2420281
Brazil,22191949,616980,21414318.0,160651.0,103340,2873,63776166.0,296983.0,214746959
British Virgin Islands,2842,39,,,93113,1278,82570.0,2705262.0,30522
Brunei,15363,98,15027.0,238.0,34637,221,659767.0,1487496.0,443542
Bulgaria,716647,29688,591124.0,95835.0,104275,4320,6933195.0,1008808.0,6872659
Burkina Faso,16334,290,15604.0,440.0,752,13,234250.0,10779.0,21731368
Burundi,20886,38,773.0,20075.0,1684,3,345742.0,27877.0,12402285
Cabo Verde,38503,351,38062.0,90.0,68180,622,211692.0,374857.0,564727
Cambodia,120382,2992,116734.0,656.0,7059,175,2740221.0,160681.0,17053752
Cameroon,107549,1823,102716.0,3010.0,3911,66,1751774.0,63699.0,27500791
Canada,1840919,29941,1774134.0,36844.0,48165,783,50147977.0,1312047.0,38221184
CAR,11961,101,6859.0,5001.0,2416,20,60228.0,12164.0,4951222
Caribbean Netherlands,3144,22,2982.0,140.0,118302,828,30126.0,1133579.0,26576
Cayman Islands,7871,9,4339.0,3523.0,117761,135,213075.0,3187884.0,66839
Chad,5701,181,4874.0,646.0,333,11,157235.0,9191.0,17106720
Channel Islands,20843,107,18863.0,1873.0,118303,607,1092362.0,6200156.0,176183
Chile,1785124,38723,1687765.0,58636.0,92237,2001,26438403.0,1366062.0,19353742
China,99856,4636,93789.0,1431.0,69,3,160000000.0,111163.0,1439323776
Colombia,5095821,129163,4935876.0,30782.0,98627,2500,28684089.0,555163.0,51667847
Comoros,4572,151,4389.0,32.0,5101,168,,,896382
Congo,19066,359,12421.0,6286.0,3336,63,188207.0,32936.0,5714374
Costa Rica,568224,7333,559232.0,1659.0,110090,1421,2839020.0,550043.0,5161453
Croatia,657726,11722,624608.0,21396.0,161660,2881,3591136.0,882649.0,4068588
Cuba,963693,8313,954986.0,394.0,85157,735,11346153.0,1002611.0,11316602
Curaçao,17598,182,17291.0,125.0,106613,1103,354117.0,2145319.0,165065
Cyprus,141566,611,124370.0,16585.0,116030,501,9477138.0,7767617.0,1220083
Czechia,2350338,34697,2072702.0,242939.0,218885,3231,45625929.0,4249113.0,10737755
Denmark,570502,3030,484378.0,83094.0,97995,520,99534470.0,17097031.0,5821740
Djibouti,13514,189,13298.0,27.0,13396,187,251081.0,248894.0,1008787
Dominica,6233,42,5768.0,423.0,86276,581,114250.0,1581424.0,72245
Dominican Republic,410412,4219,404634.0,1559.0,37292,383,2509341.0,228011.0,11005366
DRC,59851,1118,50930.0,7803.0,640,12,306299.0,3276.0,93493842
Ecuador,533457,33561,443880.0,56016.0,29586,1861,2075736.0,115123.0,18030636
Egypt,369997,21104,307926.0,40967.0,3520,201,3693367.0,35133.0,105125595
El Salvador,121200,3800,104875.0,12525.0,18550,582,1475681.0,225860.0,6533595
Equatorial Guinea,13612,175,13386.0,51.0,9263,119,263190.0,179097.0,1469536
Eritrea,7675,64,7449.0,162.0,2122,18,23693.0,6550.0,3617439
Estonia,229214,1868,213777.0,13569.0,172623,1407,2412211.0,1816661.0,1327827
Eswatini,53509,1252,45903.0,6354.0,45441,1063,405036.0,343965.0,1177550
Ethiopia,373240,6833,350412.0,15995.0,3134,57,3937566.0,33067.0,119078905
Faeroe Islands,4413,13,3926.0,474.0,89819,265,598000.0,12171294.0,49132
Fiji,52593,697,51157.0,739.0,58059,769,465125.0,513468.0,905850
Finland,207033,1444,46000.0,159589.0,37282,260,8238825.0,1483621.0,5553186
France,8270728,120431,7330260.0,820037.0,126304,1839,175073861.0,2673590.0,65482691
French Guiana,46510,333,11254.0,34923.0,150096,1075,466594.0,1505778.0,309869
French Polynesia,46334,636,,,163575,2245,,,283259
Gabon,37626,285,34522.0,2819.0,16347,124,1430698.0,621599.0,2301641
Gambia,10034,342,9641.0,51.0,3990,136,126559.0,50327.0,2514748
Georgia,894801,12826,840985.0,40990.0,224933,3224,12208365.0,3068913.0,3978075
Germany,6587192,107029,5497300.0,982863.0,78259,1272,87852398.0,1043726.0,84171911
Ghana,131547,1243,129566.0,738.0,4109,39,2018574.0,63059.0,32010703
Gibraltar,7546,100,7215.0,231.0,224076,2969,428836.0,12734173.0,33676
Greece,1012659,19475,932006.0,61178.0,97848,1882,41278494.0,3988532.0,10349295
Grenada,5915,200,5665.0,50.0,52217,1766,89012.0,785784.0,113278
Guadeloupe,55284,748,2250.0,52286.0,138133,1869,551264.0,1377392.0,400223
Guatemala,622237,16048,605390.0,799.0,33827,872,3189301.0,173380.0,18394842
Guinea,30813,388,29776.0,649.0,2258,28,569940.0,41762.0,13647454
Guinea-Bissau,6448,149,6283.0,16.0,3168,73,108740.0,53429.0,2035229
Guyana,38568,1023,36691.0,854.0,48694,1292,405104.0,511464.0,792048
Haiti,25865,762,22276.0,2827.0,2229,66,132422.0,11412.0,11603684
Honduras,378615,10424,122591.0,245600.0,37366,1029,1128598.0,111384.0,10132487
Hong Kong,12496,213,12180.0,103.0,1647,28,28539548.0,3762614.0,7585032
Hungary,1202514,37079,996517.0,168918.0,124939,3852,8868961.0,921468.0,9624817
Iceland,19708,36,18282.0,1390.0,57216,105,1293339.0,3754806.0,344449
India,34703644,475888,34138763.0,88993.0,24795,340,656672451.0,469171.0,1399642907
Indonesia,4259439,143960,4110574.0,4905.0,15338,518,58730148.0,211480.0,277709857
Iran,6160303,130831,5980566.0,48906.0,72009,1529,40258351.0,470590.0,85548631
Iraq,2088833,24007,2056933.0,7893.0,50300,578,16589899.0,399495.0,41527225
Ireland,628306,5788,488855.0,133663.0,125220,1154,9313992.0,1856260.0,5017613
Isle of Man,12731,67,11838.0,826.0,148579,782,133676.0,1560086.0,85685
Israel,1350946,8223,1336759.0,5964.0,144858,882,36081323.0,3868896.0,9326000
Italy,5258886,135049,4826443.0,297394.0,87164,2238,127082617.0,2106352.0,60333042
Ivory Coast,61907,706,60997.0,204.0,2266,26,1177883.0,43111.0,27322253
Jamaica,91802,2428,63491.0,25883.0,30807,815,683615.0,229410.0,2979883
Japan,1728906,18374,1709611.0,921.0,13731,146,28552037.0,226755.0,125915575
Jordan,1015289,12024,936942.0,66323.0,98098,1162,12789140.0,1235696.0,10349746
Kazakhstan,980372,12876,949397.0,18099.0,51324,674,11575012.0,605967.0,19101735
Kenya,256815,5349,248804.0,2662.0,4629,96,2894765.0,52173.0,55483519
Kuwait,413760,2466,410930.0,364.0,94857,565,5594468.0,1282563.0,4361945
Kyrgyzstan,184027,2773,179080.0,2174.0,27549,415,1872013.0,280246.0,6679894
Laos,91816,250,7339.0,84227.0,12360,34,871790.0,117361.0,7428306
Latvia,263145,4390,248573.0,10182.0,141782,2365,5466774.0,2945492.0,1855980
Lebanon,690841,8860,642928.0,39053.0,101876,1307,4795578.0,707191.0,6781164
Lesotho,23102,664,13856.0,8582.0,10662,306,273169.0,126068.0,2166834
Liberia,5844,287,5535.0,22.0,1118,55,128246.0,24524.0,5229498
Libya,379328,5569,366163.0,7596.0,54140,795,1960000.0,279741.0,7006489
Liechtenstein,5405,68,4994.0,343.0,141174,1776,80413.0,2100324.0,38286
Lithuania,493471,7021,459769.0,26681.0,185012,2632,6372719.0,2389253.0,2667243
Luxembourg,94300,895,88068.0,5337.0,147180,1397,3745927.0,5846525.0,640710
Madagascar,45794,980,43393.0,1421.0,1595,34,290447.0,10113.0,28719683
Malawi,62380,2308,58863.0,1209.0,3143,116,452086.0,22782.0,19844241
Malaysia,2695143,30908,2606309.0,57926.0,81755,938,39264848.0,1191069.0,32966069
Maldives,93246,258,91028.0,1960.0,168219,465,1803279.0,3253178.0,554313
Mali,18627,630,15523.0,2474.0,883,30,507818.0,24075.0,21093387
Malta,40724,471,38435.0,1818.0,91877,1063,1211456.0,2733146.0,443246
Martinique,45501,718,104.0,44679.0,121387,1915,416247.0,1110457.0,374843
Mauritania,39834,850,38434.0,550.0,8254,176,528695.0,109546.0,4826250
Mauritius,22651,680,21043.0,928.0,17768,533,358675.0,281352.0,1274825
Mayotte,21088,185,2964.0,17939.0,74693,655,176919.0,626643.0,282328
Mexico,3918987,296721,3275463.0,346803.0,29940,2267,12074161.0,92244.0,130893384
Moldova,370003,9393,354811.0,5799.0,92032,2336,2273501.0,565494.0,4020382
Monaco,4114,36,3893.0,185.0,103771,908,54960.0,1386303.0,39645
Mongolia,385638,2038,313256.0,70344.0,114956,608,4030048.0,1201329.0,3354658
Montenegro,160111,2360,155737.0,2014.0,254880,3757,930685.0,1481555.0,628181
Morocco,951544,14798,935358.0,1388.0,25345,394,10571794.0,281586.0,37543695
Mozambique,153787,1945,149964.0,1878.0,4729,60,1003865.0,30869.0,32520452
Myanmar,527274,19193,503790.0,4291.0,9598,349,5825381.0,106036.0,54937899
Namibia,133090,3578,126108.0,3404.0,51042,1372,818078.0,313746.0,2607455
Nepal,824764,11559,807516.0,5689.0,27589,387,4734586.0,158375.0,29894728
Netherlands,2906969,20214,2274967.0,611788.0,169110,1176,19205114.0,1117240.0,17189780
New Caledonia,12400,280,11961.0,159.0,42837,967,42756.0,147704.0,289471
New Zealand,13067,47,6157.0,6863.0,2612,9,5287715.0,1057099.0,5002100
Nicaragua,17328,210,4225.0,12893.0,2571,31,,,6738614
Niger,7163,269,6879.0,15.0,281,11,196156.0,7701.0,25471345
